name,aliases,primary,secondary,logo
Egg Harbor,"EHTHS,Egg Harbor Township",#C0C0C0,#E0E0E0,egg-harbor.png
Point Pleasant Boro,PPBHS,#101010,#607080,point-pleasant-boro.png
Wallkill Valley,WVHS,#808080,#B0B0B0,wallkill-valley.png
Brick Memorial,BMHS,#D0D0A0,#002010,brick-memorial.png
Cedar Grove,CGHS,#101010,#F0D030,cedar-grove.png
Neptune,NHS,#103050,#F3EAD8,neptune.png
Blair,"BA,Blair Academy",#003060,#8090B0,blair.png
Raritan,RHS,#006030,#707070,raritan.png
Elmwood Park,EPHS,#C01030,#601010,elmwood-park.png
West Windsor-Plainsboro South,WWPS,#004030,#F0D040,west-windsor-plainsboro-south.png
Rancocas Valley,RVHS,#C00030,#F0E0E0,rancocas-valley.png
Haddon Township,HTHS,#C01020,#F0E0E0,haddon-township.png
Haddon Heights,HHHS,#808080,#E01020,haddon-heights.png
Rutgers Prep,RP,#A00000,#F0E0E0,rutgers-prep.png
Point Pleasant Beach,PPBHS,#B0B0B0,#707070,point-pleasant-beach.png
Manville,MHS,#3040C0,#F0F000,manville.png
West Deptford,WDHS,#103010,#506050,west-deptford.png
Parsippany,PHS,#C00030,#709070,parsippany.png
West Windsor-Plainsboro North,WWPN,#000090,#0030C0,west-windsor-plainsboro-north.png
Seneca,SHS,#104010,#C0B080,seneca.png
Cresskill,CHS,#F0C000,#907000,cresskill.png
Whippany Park,WPHS,#303030,#101010,whippany-park.png
Moorestown Friends,MFHS,#103060,#305080,moorestown-friends.png
Northern Burlington,NBHS,#034CB2,#454444,northern-burlington.svg
Delaware Valley,DVHS,#909090,#C0C0C0,delaware-valley.png
Deptford,DHS,#E0E0E0,#101010,deptford.png
Wood-Ridge,WRHS,#3060C0,#C0D0F0,wood-ridge.png
Cherry Hill West,CHWHS,#E0E0E0,#502090,cherry-hill-west.png
Brick Township,BTHS,#E0F0E0,#007030,brick-township.png
Lenape Valley,LVHS,#203070,#D02030,lenape-valley.png
Hammonton,HHS,#003090,#B0B0B0,hammonton.png
Burlington Township,BTHS,#101010,#505050,burlington-township.png
Delsea,DHS,#D0D0D0,#300000,delsea.png
Bound Brook,BBHS,#D0D0D0,#101010,bound-brook.png
Clearview,CHS,#F0B030,#205020,clearview.png
Ridgefield,"RHS,Ridge",#003000,#E0E0E0,ridgefield.png
Monmouth,"MRHS,Monmouth Regional",#222222,#C8880A,monmouth.svg
Bergen Charter,BC,#5C2E2E,#E6D5C3,bergen-charter.svg
Barnegat,BHS,#222222,#CC4E10,barnegat.svg
Woodbridge,WHS,#6B2B1F,#F0D9B5,woodbridge.svg
Florence,"FTMHS,Florence Township Memorial",#002050,#F0C000,florence.png
Haddonfield,HHS,#C00010,#E0E0E0,haddonfield.png
Phillipsburg,PHS,#707070,#C0C0C0,phillipsburg.png
Roselle Park,RPHS,#CC0022,#F3EAD8,roselle-park.svg
Perth Amboy,PAHS,#D0D0D0,#101010,perth-amboy.png
Becton,BHS,#907030,#800000,becton.png
Ridgefield Park,RPHS,#101010,#E02030,ridgefield-park.png
Hudson Catholic,HCHS,#C09060,#300030,hudson-catholic.png
Matawan,"MRHS,Matawan Regional",#8F0018,#737272,matawan.svg
Lakewood,LHS,#034CB2,#F3EAD8,lakewood.svg
Bordentown,BHS,#F09010,#101010,bordentown.png
Schalick,SHS,#105010,#E0E0E0,schalick.png
Williamstown,WHS,#0030C0,#5070D0,williamstown.png
Plainfield,PHS,#802030,#F0A000,plainfield.png
Boonton,BHS,#D0D0C0,#800000,boonton.png
Bayonne,BHS,#601010,#E0E0E0,bayonne.png
Dwight-Morrow,"DMHS,Dwight Morrow",#600000,#909090,dwight-morrow.png
Nottingham,NHS,#000030,#E09000,nottingham.png
Sterling,SHS,#103090,#909090,sterling.png
Palisades Park,PPHS,#202030,#E0E0E0,palisades-park.png
High Point,HPHS,#F00000,#101010,high-point.png
Sayreville,SHS,#C0C0C0,#A0A0A0,sayreville.png
Middlesex,MHS,#203060,#E0E0E0,middlesex.png
Ranney,RHS,#D0E0E0,#708090,ranney.png
Passaic Valley,PVHS,#206020,#A0C0A0,passaic-valley.png
Palmyra,PHS,#A01020,#D08080,palmyra.png
